symptom_category,symptom_name,symptom_description,medicine_name,common_name,potency,dosage,frequency,modalities_better,modalities_worse,keynote_symptoms,miasm,source_material,notes,case_description
Fever,"High fever – sudden onset, sometimes worsening at night",Sudden high fever after cold dry wind; hot dry skin; extreme restlessness and fear or related discomfort,Aconitum napellus,Monkshood,30C,3–5 pellets,Every 30 min in early acute stage,"Open air, rest, perspiration","Cold dry wind, midnight, fright",Fear of death; predicts own death; thirst for cold water; no perspiration,Psora,Fresh plant Aconitum napellus,Only in very early stage,"Patient reports High fever – sudden onset, sometimes worsening at night. Condition may relate to Sudden high fever after cold dry wind; hot dry skin; extreme restlessness and fear or related discomfort. Suggested remedy: Fever (Potency: 30C)."
Skin,"Boils/Furuncles, sometimes worsening at night",Boils with much pus formation; extremely sensitive to touch and cold or related discomfort,Hepar sulphuris calcareum,Calcium Sulphide,6C (low promotes discharge),3–5 pellets,3 times daily,"Warmth, wrapping up","Cold, drafts, slightest touch",Splinter-like pains; offensive discharge; chilly; hypersensitive to pain,Psora,Calcium sulphide compound,6C promotes suppuration; 200C aborts,"The patient complains of Boils/Furuncles, sometimes worsening at night. This could correspond to Boils with much pus formation; extremely sensitive to touch and cold or related discomfort. Remedy often used in such cases: Skin (6C (low promotes discharge))."
Digestive,"Diarrhoea – watery, sometimes worsening at night",Watery profuse painless diarrhoea; like a tap opened; no urgency; worse 5 am or related discomfort,Podophyllum peltatum,May Apple,30C,3–5 pellets,Every 2–3 hrs,"Lying on stomach, rubbing abdomen","Morning, 4–5 am, hot weather, teething",Gushing profuse stool; offensive; liver complaints; teething children,Psora,Root Podophyllum peltatum,Gurgling before stool is keynote,"Symptoms observed include Diarrhoea – watery, sometimes worsening at night. These signs may indicate Watery profuse painless diarrhoea; like a tap opened; no urgency; worse 5 am or related discomfort. Recommended homeopathic medicine: Digestive with potency 30C."
Fever,"Intermittent fever – malarial type, sometimes worsening at night",Intermittent fever with chill; thirst during chill; perspiration relieves or related discomfort,Natrum muriaticum,Common Salt,30C,3–5 pellets,3 times daily (not during paroxysm),"Open air, sweating","Heat, sun, 9–11 am, consolation",Periodic; chill 10–11 am; violent thirst; mapped tongue; grief aetiology,Psora,Sodium chloride NaCl,,"Case description: Intermittent fever – malarial type, sometimes worsening at night. Associated condition: Intermittent fever with chill; thirst during chill; perspiration relieves or related discomfort. Appropriate remedy: Fever potency 30C."
ENT,"Tinnitus, sometimes worsening at night",Ringing or roaring in ears; worse at night; associated with vertigo or related discomfort,Chininum sulphuricum,Quinine Sulphate,30C,3–5 pellets,Twice daily,Warmth,"Cold, night, noise",Periodical complaints; debility after long illness; malarial keynote,Psora,Quinine sulphate compound,Periodicity is characteristic,"Symptoms observed include Tinnitus, sometimes worsening at night. These signs may indicate Ringing or roaring in ears; worse at night; associated with vertigo or related discomfort. Recommended homeopathic medicine: ENT with potency 30C."
Skin,"Acne – pustular, sometimes worsening at night",Pustular acne on face; worse at puberty; worse during menses; comedones or related discomfort,Sulphur,Sulphur,30C,3–5 pellets,Twice weekly,Open air,"Warmth, night, washing",Tendency to skin eruptions; unhealthy skin; slow healing wounds,Psora,Sulphur element,Constitutional approach needed,"Symptoms observed include Acne – pustular, sometimes worsening at night. These signs may indicate Pustular acne on face; worse at puberty; worse during menses; comedones or related discomfort. Recommended homeopathic medicine: Skin with potency 30C."
Metabolic,"Obesity, sometimes worsening at night",Obesity in fair chilly sweaty patients; craves eggs; cold sweaty hands; fatigue or related discomfort,Calcarea carbonica,Oyster Shell Calcium,30C,3–5 pellets,Twice weekly,Dry weather,"Cold, damp, full moon",Obesity; cold intolerance; phlegmatic; slow; stubborn; sweaty head,Psora,Middle layer oyster shell Ostrea edulis,Constitutional remedy,"Case description: Obesity, sometimes worsening at night. Associated condition: Obesity in fair chilly sweaty patients; craves eggs; cold sweaty hands; fatigue or related discomfort. Appropriate remedy: Metabolic potency 30C."
Paediatric,"ADHD – hyperactive, sometimes worsening at night",Impulsive; restless; short attention span; cannot sit still; destructive or related discomfort,Veratrum album,White Hellebore,30C,3–5 pellets,Twice daily (under guidance),Rest,"Cold, night, fright, exertion",Excess of everything; overactive; religious mania; coldness of body,Psora/Syphilis,Root Veratrum album,Constitutional treatment essential,"The patient complains of ADHD – hyperactive, sometimes worsening at night. This could correspond to Impulsive; restless; short attention span; cannot sit still; destructive or related discomfort. Remedy often used in such cases: Paediatric (30C)."
Skin,"Eczema – weeping, sometimes worsening at night",Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge or related discomfort,Graphites,Black Lead,30C,3–5 pellets,Twice daily,Wrapping up in warm clothes,"Cold, night, after menses",Thick honey-coloured discharge; fissures at angles of mouth and eyes; chilly,Psora,Graphite (black lead),Key: honey-like discharge from skin,"Clinical presentation: Eczema – weeping, sometimes worsening at night. Possible condition: Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge or related discomfort. Suggested homeopathic treatment: Skin (30C)."
Digestive,"Haemorrhoids, sometimes worsening at night",Large purple painful haemorrhoids; worse after stool; burning; bleeding or related discomfort,Aesculus hippocastanum,Horse Chestnut,30C,3–5 pellets,3 times daily,Cool bathing,"Standing, walking",Fullness in rectum; backache accompanying haemorrhoids; dry purple piles,Psora,Seeds Aesculus hippocastanum,Sacral backache with piles is characteristic,"Patient reports Haemorrhoids, sometimes worsening at night. Condition may relate to Large purple painful haemorrhoids; worse after stool; burning; bleeding or related discomfort. Suggested remedy: Digestive (Potency: 30C)."
Skin,"Boils/Furuncles, sometimes worsening at night",Boils with much pus formation; extremely sensitive to touch and cold or related discomfort,Hepar sulphuris calcareum,Calcium Sulphide,6C (low promotes discharge),3–5 pellets,3 times daily,"Warmth, wrapping up","Cold, drafts, slightest touch",Splinter-like pains; offensive discharge; chilly; hypersensitive to pain,Psora,Calcium sulphide compound,6C promotes suppuration; 200C aborts,"Patient reports Boils/Furuncles, sometimes worsening at night. Condition may relate to Boils with much pus formation; extremely sensitive to touch and cold or related discomfort. Suggested remedy: Skin (Potency: 6C (low promotes discharge))."
Respiratory,"Asthma – spasmodic, sometimes worsening at night",Violent spasmodic asthma; worse midnight; has to sit up; fear of suffocation or related discomfort,Arsenicum album,White Arsenic,30C,3–5 pellets,Every 30 min in acute; 3x daily for chronic,"Warmth, sitting upright","Midnight–2 am, cold",Burning relieved by warmth; restlessness; anxiety; thirst for sips,Psora/Tubercular,White arsenic trioxide,Key: burning + cold + midnight + restlessness,"Clinical presentation: Asthma – spasmodic, sometimes worsening at night. Possible condition: Violent spasmodic asthma; worse midnight; has to sit up; fear of suffocation or related discomfort. Suggested homeopathic treatment: Respiratory (30C)."
Infections,"Cellulitis, sometimes worsening at night",Spreading red inflammation; streaks; heat; swelling; pitting oedema or related discomfort,Apis mellifica,Honey Bee,30C,3–5 pellets,Every 2–3 hrs in acute,Cold applications,"Heat, pressure, touch, 3 pm",Stinging burning pains; oedema; no thirst; rosy hue,Sycosis,Honey bee Apis mellifica,Any oedematous condition,"Clinical presentation: Cellulitis, sometimes worsening at night. Possible condition: Spreading red inflammation; streaks; heat; swelling; pitting oedema or related discomfort. Suggested homeopathic treatment: Infections (30C)."
Dental,"Toothache – worse warmth, sometimes worsening at night",Toothache worse from warmth; better cold water; worse at night or related discomfort,Coffea cruda,Unroasted Coffee,30C,3–5 pellets,Every 30–60 min in acute,Cold water held in mouth,"Warmth, night, excitement",Intolerance of pain; sleeplessness; excessive sensitiveness; toothache in nursing,Psora,Unroasted Coffea arabica,Cold water held in mouth relieves,"Clinical presentation: Toothache – worse warmth, sometimes worsening at night. Possible condition: Toothache worse from warmth; better cold water; worse at night or related discomfort. Suggested homeopathic treatment: Dental (30C)."
Digestive,"Gastric ulcer, sometimes worsening at night",Burning pain in stomach 2–3 hrs after eating; better eating; gnawing hunger or related discomfort,Anacardium orientale,Marking Nut,30C,3–5 pellets,Before meals,Eating,"Hunger, 11 am",Symptoms relieved by eating; feels better with full stomach; mental symptoms,Psora,Kernel Anacardium orientale,Eating relieves all symptoms is keynote,"Clinical presentation: Gastric ulcer, sometimes worsening at night. Possible condition: Burning pain in stomach 2–3 hrs after eating; better eating; gnawing hunger or related discomfort. Suggested homeopathic treatment: Digestive (30C)."
Musculoskeletal,"Carpal tunnel syndrome, sometimes worsening at night",Numbness tingling hands; worse at night; worse cold; better motion or related discomfort,Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3 times daily,"Motion, warmth","Rest, cold, night",Stiffness on waking; restless; repetitive strain pattern,Psora,Leaves Toxicodendron radicans,Consider alongside Causticum,"The patient complains of Carpal tunnel syndrome, sometimes worsening at night. This could correspond to Numbness tingling hands; worse at night; worse cold; better motion or related discomfort. Remedy often used in such cases: Musculoskeletal (30C)."
Respiratory,"Asthma from damp, sometimes worsening at night",Asthma in damp weather; cough worse cold air; must sit up; ropy mucus or related discomfort,Natrum sulphuricum,Glauber's Salt,30C,3–5 pellets,3 times daily,Dry weather,"Damp, rainy weather, 4–5 am",Aggravation from dampness in all complaints; greenish expectoration,Sycosis,Sodium sulphate,Constitutional remedy for sycotic patients,"Clinical presentation: Asthma from damp, sometimes worsening at night. Possible condition: Asthma in damp weather; cough worse cold air; must sit up; ropy mucus or related discomfort. Suggested homeopathic treatment: Respiratory (30C)."
ENT,"Tonsillitis – right-sided, sometimes worsening at night",Right-sided tonsillitis; pains extend to ear on swallowing; worse cold drinks or related discomfort,Belladonna,Deadly Nightshade,30C,3–5 pellets,Every 30–60 min in acute,Warmth,"Cold drinks, touch, jar",Bright red tonsils; high fever; sudden onset; hot dry skin,Psora,Berries and root Atropa belladonna,,"The patient complains of Tonsillitis – right-sided, sometimes worsening at night. This could correspond to Right-sided tonsillitis; pains extend to ear on swallowing; worse cold drinks or related discomfort. Remedy often used in such cases: ENT (30C)."
Skin,"Acne – cystic, sometimes worsening at night",Cystic acne; indurated nodules; slow to suppurate; worse right side or related discomfort,Hepar sulphuris calcareum,Calcium Sulphide,30C,3–5 pellets,3 times daily,"Warmth, wrapping up","Cold, touch, draft",Extreme sensitivity to cold and touch; suppuration; splinter-like pains,Psora,Calcium sulphide compound,Promotes suppuration if given in low potency,"The patient complains of Acne – cystic, sometimes worsening at night. This could correspond to Cystic acne; indurated nodules; slow to suppurate; worse right side or related discomfort. Remedy often used in such cases: Skin (30C)."
Trauma,"Puncture wounds, sometimes worsening at night",Deep narrow puncture wounds; insect stings; nails; needles; prevents tetanus or related discomfort,Ledum palustre,Marsh Labrador Tea,30C,3–5 pellets,Every 2–3 hrs for 24–48 hrs,Cold applications,"Warmth, motion, night",Cold relieves; part is cold to touch; ecchymosis; black eye from blow,Psora,Whole plant Ledum palustre,Cold applications relieve is keynote,"Patient reports Puncture wounds, sometimes worsening at night. Condition may relate to Deep narrow puncture wounds; insect stings; nails; needles; prevents tetanus or related discomfort. Suggested remedy: Trauma (Potency: 30C)."
ENT,"Conjunctivitis – purulent, sometimes worsening at night",Purulent thick yellow-green discharge; worse morning; eyes stuck shut or related discomfort,Pulsatilla nigricans,Windflower,30C,3–5 pellets,3 times daily,"Open air, cold applications","Warm room, evening",Bland non-irritating discharge; mild disposition; weepy; thirstless,Psora/Sycosis,Whole plant Pulsatilla nigricans,,"Patient reports Conjunctivitis – purulent, sometimes worsening at night. Condition may relate to Purulent thick yellow-green discharge; worse morning; eyes stuck shut or related discomfort. Suggested remedy: ENT (Potency: 30C)."
Musculoskeletal,"Sprains – acute, sometimes worsening at night",Acute sprain; torn ligaments; worse motion; hot swollen bruised feeling or related discomfort,Arnica montana,Mountain Arnica,30C,3–5 pellets,Every 1–2 hrs initially,"Rest, lying down","Touch, motion, jar",Bruised sore feeling everywhere; says nothing is wrong; refuses help,Psora,Whole plant Arnica montana,First remedy in any injury,"The patient complains of Sprains – acute, sometimes worsening at night. This could correspond to Acute sprain; torn ligaments; worse motion; hot swollen bruised feeling or related discomfort. Remedy often used in such cases: Musculoskeletal (30C)."
Respiratory,"Bronchitis, sometimes worsening at night",Profuse mucus; rattling in chest; salty expectoration; weekly periodicity or related discomfort,Stannum metallicum,Tin,30C,3–5 pellets,Twice daily,Lying on affected side,"Exertion, laughing, talking",Extreme weakness; empty gone feeling in chest; expectoration sweet/salty,Tubercular,Pure tin metal,Gradual onset bronchitis,"Patient reports Bronchitis, sometimes worsening at night. Condition may relate to Profuse mucus; rattling in chest; salty expectoration; weekly periodicity or related discomfort. Suggested remedy: Respiratory (Potency: 30C)."
Digestive,"Flatulence, sometimes worsening at night",Excessive gas; bloated abdomen; worse after eating; cannot pass gas or related discomfort,Carbo vegetabilis,Vegetable Charcoal,30C,3–5 pellets,3 times daily,"Eructation, fanning, cold air","Lying down, warm room, evening",Tremendous bloating; putrid eructations; vital force low; craves fresh air,Psora,Vegetable charcoal,Almost no vital heat; craves air,"The patient complains of Flatulence, sometimes worsening at night. This could correspond to Excessive gas; bloated abdomen; worse after eating; cannot pass gas or related discomfort. Remedy often used in such cases: Digestive (30C)."
Skin,"Urticaria – hives, sometimes worsening at night",Hives; intense itching; burning; better cold application; after shellfish or strawberries or related discomfort,Apis mellifica,Honey Bee,30C,3–5 pellets,Every 2–3 hrs in acute,"Cold applications, cold bathing","Heat, touch, pressure, 3 pm",Oedema; stinging burning pains; absence of thirst; jealousy,Sycosis,Honey bee Apis mellifica,Absence of thirst with heat is keynote,"The patient complains of Urticaria – hives, sometimes worsening at night. This could correspond to Hives; intense itching; burning; better cold application; after shellfish or strawberries or related discomfort. Remedy often used in such cases: Skin (30C)."
Neurological,"Anxiety, sometimes worsening at night",Anticipatory anxiety; fear of exams or performance; trembling weakness or related discomfort,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily; 1 dose 1 hr before stressful event,"Urination, perspiration, stimulants","Emotion, bad news, anticipation",Diarrhoea before events; weak trembling; heavy eyelids; no thirst,Psora,Root bark Gelsemium sempervirens,Stage fright remedy,"Case description: Anxiety, sometimes worsening at night. Associated condition: Anticipatory anxiety; fear of exams or performance; trembling weakness or related discomfort. Appropriate remedy: Neurological potency 30C."
Paediatric,"Colic – wind, sometimes worsening at night",Baby draws legs up with pain; wind; gas; better warmth or related discomfort,Magnesia phosphorica,Magnesium Phosphate,30C dissolved in warm water,3–5 pellets,Every 15–30 min,"Warmth, pressure, warm drinks","Cold, night",Cramping; flatulent colic; better warmth and pressure applied,Psora,Magnesium phosphate salt,Dissolve in warm water for colic,"Symptoms observed include Colic – wind, sometimes worsening at night. These signs may indicate Baby draws legs up with pain; wind; gas; better warmth or related discomfort. Recommended homeopathic medicine: Paediatric with potency 30C dissolved in warm water."
Skin,"Warts, sometimes worsening at night",Multiple warts; large jagged; pedunculated; cauliflower-like; on hands and face or related discomfort,Thuja occidentalis,Arborvitae,30C,3–5 pellets,Twice daily,"Warmth, scratching","Cold, damp, night",Fixed ideas; secretive; greasy skin; vaccination effects; genital warts,Sycosis,Leaves Thuja occidentalis,Prime sycotic remedy; anti-sycotic,"Clinical presentation: Warts, sometimes worsening at night. Possible condition: Multiple warts; large jagged; pedunculated; cauliflower-like; on hands and face or related discomfort. Suggested homeopathic treatment: Skin (30C)."
Musculoskeletal,"Backache – lumbar, sometimes worsening at night","Lower back pain; worse first motion, better continued motion; worse cold damp or related discomfort",Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3–4 times daily,"Continued motion, heat, dry weather","Rest, first motion, cold wet",Stiffness; lame bruised feeling; restlessness,Psora,Leaves Toxicodendron radicans,Classic lumbago remedy,"The patient complains of Backache – lumbar, sometimes worsening at night. This could correspond to Lower back pain; worse first motion, better continued motion; worse cold damp or related discomfort. Remedy often used in such cases: Musculoskeletal (30C)."
Trauma,"Burns – minor, sometimes worsening at night",Minor burns; scalds; worse touch; vesicles; raw burning pain or related discomfort,Cantharis vesicatoria,Spanish Fly,30C,3–5 pellets,Every 30–60 min in acute,Cold applications,"Touch, urinating, coffee",Burning rawness; urinary symptoms; inflammation of any kind,Psora,Dried beetle Cantharis vesicatoria,,"Symptoms observed include Burns – minor, sometimes worsening at night. These signs may indicate Minor burns; scalds; worse touch; vesicles; raw burning pain or related discomfort. Recommended homeopathic medicine: Trauma with potency 30C."
Neurological,"Headache – tension, sometimes worsening at night",Dull heavy headache; pressure at base of skull; from overwork; better sleep or related discomfort,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily,"Urination, stimulants, sleep","Damp, anticipation, emotional shock",Band-like headache; heavy eyelids; dizziness; weakness; no thirst,Psora,Root bark Gelsemium sempervirens,Exam anxiety headache,"Symptoms observed include Headache – tension, sometimes worsening at night. These signs may indicate Dull heavy headache; pressure at base of skull; from overwork; better sleep or related discomfort. Recommended homeopathic medicine: Neurological with potency 30C."
Digestive,"Diarrhoea – watery, sometimes worsening at night",Watery profuse painless diarrhoea; like a tap opened; no urgency; worse 5 am or related discomfort,Podophyllum peltatum,May Apple,30C,3–5 pellets,Every 2–3 hrs,"Lying on stomach, rubbing abdomen","Morning, 4–5 am, hot weather, teething",Gushing profuse stool; offensive; liver complaints; teething children,Psora,Root Podophyllum peltatum,Gurgling before stool is keynote,"Case description: Diarrhoea – watery, sometimes worsening at night. Associated condition: Watery profuse painless diarrhoea; like a tap opened; no urgency; worse 5 am or related discomfort. Appropriate remedy: Digestive potency 30C."
Respiratory,"Croup, sometimes worsening at night",Barking croupy cough; worse before midnight; child wakes frightened or related discomfort,Aconitum napellus,Monkshood,30C,3–5 pellets,Every 30 min in acute phase,"Cool air, rest","Midnight, cold dry wind",Sudden onset after cold dry wind exposure; fear and anxiety,Psora,Fresh plant Aconitum napellus,Often alternated with Hepar sulph,"Patient reports Croup, sometimes worsening at night. Condition may relate to Barking croupy cough; worse before midnight; child wakes frightened or related discomfort. Suggested remedy: Respiratory (Potency: 30C)."
Respiratory,"Croup, sometimes worsening at night",Barking croupy cough; worse before midnight; child wakes frightened or related discomfort,Aconitum napellus,Monkshood,30C,3–5 pellets,Every 30 min in acute phase,"Cool air, rest","Midnight, cold dry wind",Sudden onset after cold dry wind exposure; fear and anxiety,Psora,Fresh plant Aconitum napellus,Often alternated with Hepar sulph,"Symptoms observed include Croup, sometimes worsening at night. These signs may indicate Barking croupy cough; worse before midnight; child wakes frightened or related discomfort. Recommended homeopathic medicine: Respiratory with potency 30C."
Neurological,"Sciatica, sometimes worsening at night",Shooting burning pain along sciatic nerve; worse right side; worse sitting on cold stone or related discomfort,Gnaphalium polycephalum,Cudweed,30C,3–5 pellets,3 times daily,"Drawing up leg, lying down","Cold, motion",Intense pain with numbness alternating; right-sided sciatica,Psora,Whole plant Gnaphalium polycephalum,Numbness alternating with pain is keynote,"The patient complains of Sciatica, sometimes worsening at night. This could correspond to Shooting burning pain along sciatic nerve; worse right side; worse sitting on cold stone or related discomfort. Remedy often used in such cases: Neurological (30C)."
Women's Health,"Menopause – hot flushes, sometimes worsening at night",Hot flushes; sweating; irritability; fatigue; worse before menses or related discomfort,Lachesis muta,Bushmaster Snake,30C,3–5 pellets,Twice daily,"Cold application, open air","Sleep, touch, pressure, hot drinks",Left-sided; worse after sleep; talkative; suspicious; jealous; heat flushes,Syphilis,Venom Lachesis muta snake,Classic menopausal remedy,"Clinical presentation: Menopause – hot flushes, sometimes worsening at night. Possible condition: Hot flushes; sweating; irritability; fatigue; worse before menses or related discomfort. Suggested homeopathic treatment: Women's Health (30C)."
Infections,"Cellulitis, sometimes worsening at night",Spreading red inflammation; streaks; heat; swelling; pitting oedema or related discomfort,Apis mellifica,Honey Bee,30C,3–5 pellets,Every 2–3 hrs in acute,Cold applications,"Heat, pressure, touch, 3 pm",Stinging burning pains; oedema; no thirst; rosy hue,Sycosis,Honey bee Apis mellifica,Any oedematous condition,"The patient complains of Cellulitis, sometimes worsening at night. This could correspond to Spreading red inflammation; streaks; heat; swelling; pitting oedema or related discomfort. Remedy often used in such cases: Infections (30C)."
Digestive,"Diarrhoea – watery, sometimes worsening at night",Watery profuse painless diarrhoea; like a tap opened; no urgency; worse 5 am or related discomfort,Podophyllum peltatum,May Apple,30C,3–5 pellets,Every 2–3 hrs,"Lying on stomach, rubbing abdomen","Morning, 4–5 am, hot weather, teething",Gushing profuse stool; offensive; liver complaints; teething children,Psora,Root Podophyllum peltatum,Gurgling before stool is keynote,"Clinical presentation: Diarrhoea – watery, sometimes worsening at night. Possible condition: Watery profuse painless diarrhoea; like a tap opened; no urgency; worse 5 am or related discomfort. Suggested homeopathic treatment: Digestive (30C)."
Fever,"Fever with bone pain, sometimes worsening at night",Fever with deep bone aching; chills up and down spine; thirst only during chill or related discomfort,Eupatorium perfoliatum,Boneset,30C,3–5 pellets,Every 3–4 hrs in acute,"Sweating, vomiting","Cold, 7–9 am",Aching as if bones broken; bilious vomiting; weakness,Psora,Whole plant Eupatorium perfoliatum,Flu-like bone aching,"Clinical presentation: Fever with bone pain, sometimes worsening at night. Possible condition: Fever with deep bone aching; chills up and down spine; thirst only during chill or related discomfort. Suggested homeopathic treatment: Fever (30C)."
Digestive,"Liver complaints, sometimes worsening at night",Right-sided pain under ribs; liver congestion; jaundice; nausea; bitter taste or related discomfort,Chelidonium majus,Greater Celandine,30C,3–5 pellets,3 times daily,"Warm food and drink, pressure","Right side, motion",Pain at tip of right shoulder blade; yellow skin; desires hot drinks,Psora,Root and leaves Chelidonium majus,Tip of right shoulder blade pain is keynote,"Patient reports Liver complaints, sometimes worsening at night. Condition may relate to Right-sided pain under ribs; liver congestion; jaundice; nausea; bitter taste or related discomfort. Suggested remedy: Digestive (Potency: 30C)."
Metabolic,"Diabetes – management support, sometimes worsening at night",Excessive thirst and urination; weakness; sugar craving; slow healing wounds or related discomfort,Uranium nitricum,Uranium Nitrate,30C,3–5 pellets,Twice daily,,,Diabetes with great emaciation; hepatic and renal involvement,Psora/Sycosis,Uranium nitrate compound,Adjunctive only; monitor glucose,"The patient complains of Diabetes – management support, sometimes worsening at night. This could correspond to Excessive thirst and urination; weakness; sugar craving; slow healing wounds or related discomfort. Remedy often used in such cases: Metabolic (30C)."
Mental,"Grief – chronic, sometimes worsening at night",Chronic sadness from grief or loss; cannot let go; introvert; no tears or related discomfort,Natrum muriaticum,Common Salt,30C,3–5 pellets,Twice daily (not too frequently),"Open air, fasting, cold bathing","Heat, consolation, 9–11 am",Never well since grief; thirst++; maps tongue; isolated; craves salt,Psora,Sodium chloride NaCl,Chronic grief after Ignatia,"Patient reports Grief – chronic, sometimes worsening at night. Condition may relate to Chronic sadness from grief or loss; cannot let go; introvert; no tears or related discomfort. Suggested remedy: Mental (Potency: 30C)."
Musculoskeletal,"Fibromyalgia, sometimes worsening at night",All-over body aching; worse cold; fatigue; sleep disturbance; tender points or related discomfort,Arnica montana,Mountain Arnica,200C,3–5 pellets,Twice weekly,"Rest, lying down","Touch, motion, damp cold",Bruised sore feeling; bed feels too hard; hypersensitive to touch,Psora,Whole plant Arnica montana,Constitutional treatment needed,"Clinical presentation: Fibromyalgia, sometimes worsening at night. Possible condition: All-over body aching; worse cold; fatigue; sleep disturbance; tender points or related discomfort. Suggested homeopathic treatment: Musculoskeletal (200C)."
Urinary,"UTI – burning urination, sometimes worsening at night",Frequent burning urination; scanty urine; violent urging; cannot hold urine or related discomfort,Cantharis vesicatoria,Spanish Fly,30C,3–5 pellets,Every 2–3 hrs in acute,Rest,"Urination, coffee, cold water","Burning raw pains before, during and after urination; intense sexual desire",Psora,Dried blister beetle Cantharis vesicatoria,Classic UTI remedy,"Patient reports UTI – burning urination, sometimes worsening at night. Condition may relate to Frequent burning urination; scanty urine; violent urging; cannot hold urine or related discomfort. Suggested remedy: Urinary (Potency: 30C)."
Respiratory,"Whooping cough, sometimes worsening at night",Paroxysmal cough ends in vomiting; child stiffens and turns blue during cough or related discomfort,Drosera rotundifolia,Sundew,30C,3–5 pellets,Every 2–4 hrs,Open air,"Lying down, after midnight, warmth",Cough as soon as head touches pillow; barking; holds sides when coughing,Tubercular,Whole plant Drosera rotundifolia,Hahnemann's chief remedy for whooping cough,"The patient complains of Whooping cough, sometimes worsening at night. This could correspond to Paroxysmal cough ends in vomiting; child stiffens and turns blue during cough or related discomfort. Remedy often used in such cases: Respiratory (30C)."
Fever,"Low-grade chronic fever, sometimes worsening at night",Low-grade afternoon fever; night sweats; weight loss; exhaustion or related discomfort,Phosphorus,Phosphorus,30C,3–5 pellets,Twice daily,"Cold, cold drinks","Twilight, lying on left side, warm",Burning in chest; tall slender build; craves cold food; haemorrhagic tendency,Tubercular,Phosphorus element,Consider tubercular miasm,"Symptoms observed include Low-grade chronic fever, sometimes worsening at night. These signs may indicate Low-grade afternoon fever; night sweats; weight loss; exhaustion or related discomfort. Recommended homeopathic medicine: Fever with potency 30C."
Neurological,"Anxiety, sometimes worsening at night",Anticipatory anxiety; fear of exams or performance; trembling weakness or related discomfort,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily; 1 dose 1 hr before stressful event,"Urination, perspiration, stimulants","Emotion, bad news, anticipation",Diarrhoea before events; weak trembling; heavy eyelids; no thirst,Psora,Root bark Gelsemium sempervirens,Stage fright remedy,"Case description: Anxiety, sometimes worsening at night. Associated condition: Anticipatory anxiety; fear of exams or performance; trembling weakness or related discomfort. Appropriate remedy: Neurological potency 30C."
Skin,"Eczema – weeping, sometimes worsening at night",Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge or related discomfort,Graphites,Black Lead,30C,3–5 pellets,Twice daily,Wrapping up in warm clothes,"Cold, night, after menses",Thick honey-coloured discharge; fissures at angles of mouth and eyes; chilly,Psora,Graphite (black lead),Key: honey-like discharge from skin,"Symptoms observed include Eczema – weeping, sometimes worsening at night. These signs may indicate Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge or related discomfort. Recommended homeopathic medicine: Skin with potency 30C."
Skin,"Warts, sometimes worsening at night",Multiple warts; large jagged; pedunculated; cauliflower-like; on hands and face or related discomfort,Thuja occidentalis,Arborvitae,30C,3–5 pellets,Twice daily,"Warmth, scratching","Cold, damp, night",Fixed ideas; secretive; greasy skin; vaccination effects; genital warts,Sycosis,Leaves Thuja occidentalis,Prime sycotic remedy; anti-sycotic,"The patient complains of Warts, sometimes worsening at night. This could correspond to Multiple warts; large jagged; pedunculated; cauliflower-like; on hands and face or related discomfort. Remedy often used in such cases: Skin (30C)."
Women's Health,"PCOS, sometimes worsening at night",Irregular periods; acne; weight gain; hirsutism; mood changes or related discomfort,Natrum muriaticum,Common Salt,30C,3–5 pellets,Twice daily,"Open air, cold bathing","Heat, sun, 9–11 am",Hormonal imbalance; craves salt; maps tongue; reserved; grief aetiology,Psora,Sodium chloride NaCl,Constitutional treatment,"Patient reports PCOS, sometimes worsening at night. Condition may relate to Irregular periods; acne; weight gain; hirsutism; mood changes or related discomfort. Suggested remedy: Women's Health (Potency: 30C)."
Cardiovascular,"Palpitations from anxiety, sometimes worsening at night",Heart palpitations; worse lying on left side; anxiety; fear or related discomfort,Lachesis muta,Bushmaster Snake,30C,3–5 pellets,Twice daily,"Open air, cold applications","Sleep, pressure, hot drinks, lying on left side",Left-sided; worse after sleep; jealous; talkative; cannot bear tight clothing,Syphilis,Venom Lachesis muta snake,,"Case description: Palpitations from anxiety, sometimes worsening at night. Associated condition: Heart palpitations; worse lying on left side; anxiety; fear or related discomfort. Appropriate remedy: Cardiovascular potency 30C."
